fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,April,26,PUNJAB,2601,GURDASPUR,80636,726.442080378251,8,1,56.1467413,468,1067,6681,9306,604,8494,4,7,0,123.7494413,1047,1078,57240,66149,0,116139,132667,7149,67.6027,4302,44,47.6,16.09,100,NA
2024-2025,April,26,PUNJAB,2602,AMRITSAR,104324,456.987686494234,7,7,8.705665,137,608,7345,15349,12387,55775,12,35,0,78.848705,2190,2243,57446,74020,0,102850,128249,7482,70.14304,9070,26,44.58,4.3,100,NA
2024-2025,April,26,PUNJAB,2604,LUDHIANA,104550,298.943777232037,5,17,8.0749161,698,653,6561,25246,20005,73391,0,0,0,83.5462621,4626,4718,65587,87728,0,106496,133949,7259,75.471346,20102,25,90.9,2.83,100,NA
2024-2025,April,26,PUNJAB,2605,JALANDHAR,32024,875.473538692712,6,4,0,387,680,4619,6655,6461,43586,0,8,0,58.262764,972,982,35242,47986,0,72557,97007,5006,58.262764,5319,32,94.93,4.32,100,NA
2024-2025,April,26,PUNJAB,2608,ROPAR,34615,536.058592750533,6,1,0,157,461,4233,11725,6423,24592,0,8,0,62.85287,1794,1831,28748,43178,0,51820,72740,4390,62.85287,8934,36,57.54,7.8,100,NA
2024-2025,April,26,PUNJAB,2614,NAWANSHAHR ,113480,453.842580592905,7,6,4.8548572,32,205,3174,24692,16379,29050,0,3,0,116.9176672,3351,3411,32186,43485,0,49258,63879,3206,112.06281,18204,32,66.99,14.96,100,NA
2024-2025,April,26,PUNJAB,2611,BHATINDA                  ,100377,497.741882286039,5,52,0,117,141,3011,17585,14452,95058,0,8,0,87.52791,3436,3697,64895,117510,0,100224,166898,3128,87.52791,13079,10,48.73,11.32,100,NA
2024-2025,April,26,PUNJAB,2621,BARNALA,27671,497.721150097466,5,11,0,54,57,1132,10260,9137,36751,0,15,0,51.06619,1993,2083,24854,42205,0,37691,60561,1186,51.06619,7135,32,40.55,9.14,100,NA
2024-2025,April,26,PUNJAB,2624,MALERKOTLA,15332,321.043569396616,5,2,3.3798,53,92,1125,6679,5653,15827,0,2,0,24.8223,1305,1329,12627,18562,0,19804,27068,1178,21.4425,5144,13,35.74,21.7,100,NA
2024-2025,April,26,PUNJAB,2606,KAPURTHALA,33650,287.850097087379,5,1,0,297,458,5108,7725,7178,33579,11,78,0,22.23642,1402,1429,27769,40128,0,46684,66144,5405,22.23642,6152,25,10.29,7.83,100,NA
2024-2025,April,26,PUNJAB,2615,MOGA,91944,459.636699669967,5,2,0,31,233,3444,7575,6916,85228,0,15,0,34.81748,1473,1555,55172,94350,0,90330,146226,3475,34.81748,5128,12,62.84,21.01,100,NA
2024-2025,April,26,PUNJAB,2604,LUDHIANA,104550,252.515783074986,5,14,8.0749161,683,693,6574,23031,18133,73388,0,0,0,66.2318261,4301,4390,65583,87724,0,106496,133949,7257,58.15691,18281,25,91.83,2.65,100,NA
